id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_id,relator_id_parlametria,id_leggo,status
2192263,PDL,36,"Susta dispositivos do Decreto nº 6.514, de 22 de julho de 2008, que dispõe sobre as infrações e sanções administrativas ao meio ambiente, estabelece o processo administrativo federal para apuração destas infrações, e dá outras providências, e a Instrução Normativa IBAMA nº 3, de 23 de janeiro de 2018, que estabelece os procedimentos para a aplicação da medida cautelar de destruição ou inutilização de produtos, subprodutos ou instrumentos utilizados na prática da infração ambiental. ",2019-02-14T19:08:00Z,camara,camara,José Medeiros,MT,PODE,Ordinária,Plenário,178986,1178986,1dbe81661ce54b39de6507dabaa33349,Ativa
2200572,PDL,229,"Susta a aplicação do Decreto n° 9.784, de 07 de maio de 2019"", que ""Declara a revogação, para fins do disposto no art. 16 da Lei Complementar nº 95, de 26 de fevereiro de 1998, e no art. 9º do Decreto nº 9.759, de 11 de abril de 2019, de decretos normativos"". ",2019-05-08T12:54:00Z,camara,camara,Alessandro Molon,RJ,PSB,Ordinária,Plenário,73891,173891,20aaae99e85511347544d52ca26928d6,Ativa
2197956,PDL,114,"Susta, nos termos do art. 49, V, da Constituição Federal, o Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008, que ""dispõe sobre as infrações e sanções administrativas ao meio ambiente e estabelece o processo administrativo federal para apuração destas infrações."". ",2019-04-12T13:19:00Z,camara,camara,Alexandre Padilha+Arlindo Chinaglia+Assis Carvalho+Benedita da Silva+Beto Faro+Bohn Gass+Carlos Veras+Carlos Zarattini+Célio Moura+Enio Verri+Erika Kokay+Frei Anastacio Ribeiro+Gleisi Hoffmann+Helder Salomão+Henrique Fontana+João Daniel+Jorge Solla+José Airton Félix Cirilo+José Guimarães+José Ricardo+Joseildo Ramos+Leonardo Monteiro+Luizianne Lins+Marcon+Margarida Salomão+Maria do Rosário+Marília Arraes+Merlong Solano+Natália Bonavides+Nelson Pellegrino+Nilto Tatto+Odair Cunha+Padre João+Patrus Ananias+Paulão+Paulo Guedes+Paulo Pimenta+Paulo Teixeira+Pedro Uczai+Professora Rosa Neide+Reginaldo Lopes+Rejane Dias+Rogério Correia+Rubens Otoni+Rui Falcão+Valmir Assunção+Vander Loubet+Vicentinho+Waldenor Pereira+Zé Carlos+Zé Neto+Zeca Dirceu,SP+SP+PI+RJ+PA+RS+PE+SP+TO+PR+DF+PB+PR+ES+RS+SE+BA+CE+CE+AM+BA+MG+CE+RS+MG+RS+PE+PI+RN+BA+SP+MG+MG+MG+AL+MG+RS+SP+SC+MT+MG+PI+MG+GO+SP+BA+MS+SP+BA+MA+BA+PR,PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT,Ordinária,Plenário,204352,1204352,6a38b246ad96596e6a94a33eba950454,Ativa
2218243,PDL,597,"Susta a Instrução Normativa n° 76, de 30 de novembro de 2018, emitida pelo Ministério da Agricultura, Pecuária e Abastecimento. ",2019-09-03T14:25:00Z,camara,camara,Marcon,RS,PT,Ordinária,Plenário,160758,1160758,a515a252e0c1b3ff6e301372ad6618d3,Ativa
2218244,PDL,598,"Susta a Instrução Normativa n° 77, de 30 de novembro de 2018, emitida pelo Ministério da Agricultura, Pecuária e Abastecimento. ",2019-09-03T14:26:00Z,camara,camara,Marcon,RS,PT,Ordinária,Plenário,160758,1160758,91230886ffed18167c50e71962e393c0,Ativa
2220973,PDL,636,"Susta os efeitos do § 6º do Art. 53-L da Resolução Normativa nº 414, de 9 de setembro de 2010, da Agência Nacional de Energia Elétrica  - ANEEL que exige licenciamento ambiental e outorga de direito de uso de recursos hídricos para a concessão de benefício tarifário para as atividades rurais de aquicultura e irrigação. ",2019-09-18T18:19:00Z,camara,camara,Benes Leocádio,RN,REPUBLICANOS,Ordinária,Plenário,204398,1204398,4ee4f8ef2d5c6158f551268de50b3e5c,Ativa
2229142,PDL,28,Exclui da Área Indígena São Marcos a área urbana da sede do Município de Pacaraima (RR). ,2019-11-07T17:15:00Z,camara,NA,,NA,NA,Urgência,Plenário,204556,1204556,713ca8ed8c3258690cad718b9544366e,Ativa
2204564,PDL,294,"Susta os efeitos da Portaria Ibama n° 1.135, de 3 de abril de 2019, que ""Delega competência aos Diretores de Proteção Ambiental, de Uso Sustentável da Biodiversidade e Florestas, e de Planejamento, Administração e Logística deste Instituto, para os fins que especifica e dá outras providências."" ",2019-05-23T12:13:00Z,camara,camara,Erika Kokay,DF,PT,Ordinária,Plenário,74299,174299,1936af28823a0817e771380dfacce78d,Ativa
2221765,PDL,641,"Susta os efeitos da redação dada ao § 4º do artigo 41 da Portaria Ibama nº 24, de 16 de agosto de 2016, pelo art. 1º da Portaria nº 3.326, de 12 de setembro de 2019, que altera o Regulamento Interno de Fiscalização Ambiental. ",2019-09-25T11:44:00Z,camara,camara,Ivan Valente,SP,PSOL,Prioridade,Plenário,204393,1204393,d6f2efe0b9a93f4f74332a982a090e09,Ativa
2205388,PDL,340,"Susta os efeitos do Decreto nº 9.806, de 28 de maio de 2019, que altera o Decreto nº 99.274, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - Conama. ",2019-05-29T12:52:00Z,camara,camara,Ivan Valente,SP,PSOL,Ordinária,Plenário,204468,1204468,502981994eea39cc5219deed51de3b53,Ativa
